Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2020-05-15 17:58:09,false,"Gdańsk Bieg","4.35","322","00:28:13","156","172","--","147","166","6:30","5:00","24","25","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","01:54.12.5","5","0.0","00:27:49","00:28:13","34","41"
Running,2020-05-12 20:41:58,false,"Gdańsk Bieg","4.57","321","00:25:46","165","182","--","153","175","5:39","3:57","48","51","1.16","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","03:12.03.9","5","0.0","00:25:39","00:25:46","33","66"
Running,2020-05-09 11:16:20,false,"Gdańsk Bieg","5.14","360","00:30:37","155","171","--","152","164","5:57","5:05","30","30","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","00:52.32.6","6","0.0","00:30:25","00:30:37","34","42"
Cycling,2020-04-26 11:45:40,false,"Gdańsk Kolarstwo","36.93","919","03:18:52","114","170","--","0","0","11.1","43.5","464","467","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","09:13.42.9","8","0.0","02:34:23","03:18:52","46","169"
Cycling,2020-03-28 11:32:29,false,"Gdańsk Kolarstwo","30.89","565","02:41:55","85","123","--","0","0","11.4","39.4","311","293","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","03:45.59.5","7","0.0","02:12:25","02:41:55","52","168"
Walking,2020-03-21 12:03:17,false,"Kolbudy Spacerowanie","3.65","267","00:57:59","105","135","--","84","156","15:53","4:27","74","74","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","11:59.05.4","4","0.0","00:56:01","00:58:06","91","127"
Cycling,2020-03-08 10:15:30,false,"Gdańsk Kolarstwo","35.71","866","02:51:32","107","173","--","0","0","12.5","38.2","363","342","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","5.0","0:00","No","03:42.91.6","8","0.0","02:21:15","02:58:14","22","149"
Pool Swimming,2020-02-19 21:19:58,false,"Pływanie na basenie","350","76","00:19:41","0","0","--","0","0","3:13","1:09","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","280","68","25","0","--","0:00","26.0","0:00","No","00:06.36.3","4","0.0","00:11:14","00:19:48","--","--"
Pool Swimming,2020-02-17 20:40:25,false,"Pływanie na basenie","875","186","00:38:47","0","0","--","0","0","2:48","1:18","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","650","61","26","0","--","0:00","26.0","0:00","No","00:20.40.6","17","0.0","00:24:33","00:39:14","--","--"
Running,2020-02-03 16:07:35,false,"Gdańsk Biegi","6.42","483","00:39:15","159","179","--","150","236","6:07","3:37","85","22","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","02:25.42.1","7","0.0","00:38:01","00:39:15","7","80"
Running,2020-01-25 13:38:46,false,"Gdańsk Biegi","5.01","331","00:27:25","156","174","--","151","185","5:29","4:29","55","51","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","00:01.00.6","6","0.0","00:27:04","00:27:25","30","85"
Pool Swimming,2020-01-24 21:20:33,false,"Pływanie na basenie","500","107","00:21:47","0","0","--","0","0","2:52","1:26","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","373","62","26","0","--","0:00","26.0","0:00","No","00:00.36.7","24","0.0","00:14:18","00:22:26","--","--"
Running,2020-01-20 13:27:38,false,"Gdańsk Biegi","9.18","627","00:52:10","160","182","--","153","179","5:41","3:16","108","114","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","00:57.03","10","0.0","00:51:53","00:52:10","20","86"
Running,2020-01-18 16:15:01,false,"Kolbudy Biegi","10.08","722","01:02:53","157","172","--","152","164","6:14","4:19","47","126","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","00:29.89.9","11","0.0","01:02:06","01:03:05","27","128"
Pool Swimming,2020-01-17 21:16:23,false,"Pływanie na basenie","800","163","00:33:48","0","0","--","0","0","3:09","1:03","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","618","67","25","0","--","0:00","26.0","0:00","No","00:03.57.2","24","0.0","00:25:11","00:34:31","--","--"
Running,2020-01-15 14:49:11,false,"Gdańsk Biegi","8.41","597","00:50:40","157","173","--","152","173","6:02","4:04","77","78","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","02:08.53.9","9","0.0","00:49:01","00:50:40","7","78"
Running,2020-01-12 12:41:02,false,"Gdańsk Biegi","5.62","396","00:32:55","158","177","--","155","244","5:51","4:32","40","22","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","04:12.71","6","0.0","00:32:49","00:32:55","41","64"
Cycling,2020-01-11 11:41:42,false,"Gdańsk Kolarstwo","34.32","847","02:28:45","119","155","--","0","0","13.8","41.0","273","271","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","17:16.37","7","0.0","02:03:07","02:28:46","34","145"
Pool Swimming,2020-01-10 21:21:33,false,"Pływanie na basenie","975","198","00:29:36","0","0","--","0","0","3:02","1:08","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","750","65","25","0","--","0:00","26.0","0:00","No","00:03.24.7","2","0.0","00:29:32","00:29:56","--","--"
Running,2020-01-08 16:20:03,false,"Gdańsk Biegi","5.37","401","00:33:06","161","175","--","155","174","6:10","3:28","66","68","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","02:11.35","6","0.0","00:32:45","00:33:06","51","89"
Hiking,2020-01-05 09:47:48,false,"Kościelisko Piesze wędrówki","16.02","1,290","04:16:10","111","157","--","69","184","16:00","7:28","518","814","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","00:18.65.8","17","0.0","03:24:58","04:16:10","699","1,217"
Hiking,2020-01-04 12:03:54,false,"Kościelisko Piesze wędrówki","8.19","804","02:45:24","106","158","--","47","160","20:11","9:18","430","417","1.41","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","02:35.36.1","9","0.0","02:03:02","02:48:11","1,009","1,302"
Hiking,2020-01-03 07:51:57,false,"Kościelisko Piesze wędrówki","21.39","1,626","07:38:46","92","155","--","27","185","21:27","0:32","1,249","1,108","4.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","6.0","0:00","No","05:31.45.9","22","0.0","03:52:13","07:57:42","1,061","1,983"
Hiking,2020-01-02 12:30:01,false,"Kościelisko Piesze wędrówki","6.82","500","01:28:48","114","166","--","82","157","13:01","2:16","216","8","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","09:32.47.1","7","0.0","01:11:06","01:28:55","952","1,163"
Cycling,2019-12-25 10:24:26,false,"Gdańsk Kolarstwo","32.31","1,135","02:18:07","141","177","--","0","0","14.0","41.0","292","297","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","12:36.45.6","7","0.0","01:57:06","02:18:07","24","154"
Cycling,2019-12-22 11:05:32,false,"Gdańsk Kolarstwo","27.84","819","01:57:03","129","169","--","0","0","14.3","84.5","203","160","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","11:26.02.8","6","0.0","01:47:39","01:57:03","79","195"
Cycling,2019-12-01 09:33:14,false,"Gdańsk Kolarstwo","19.61","737","01:21:48","141","175","--","0","0","14.4","39.1","192","188","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","16:09.19.2","4","0.0","01:14:24","01:21:48","53","161"
Running,2019-11-08 19:07:51,false,"Gdańsk Biegi","7.06","549","00:45:13","161","186","--","157","171","6:24","4:47","72","69","1.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","00:22.54.7","8","0.0","00:44:59","00:45:55","53","98"
Running,2019-11-06 15:01:46,false,"Gdańsk Biegi","8.50","548","00:47:53","153","171","--","158","212","5:38","3:07","100","105","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","02:44.31.9","9","0.0","00:47:50","00:47:53","21","83"
Running,2019-11-03 09:34:30,false,"Gdańsk Biegi","9.75","732","00:57:35","166","185","--","155","164","5:54","4:36","106","107","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","03:56.86.3","10","0.0","00:57:18","00:57:35","40","140"
Running,2019-11-01 09:36:15,false,"Gdańsk Biegi","7.03","533","00:43:15","160","184","--","144","172","6:09","3:13","65","66","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:10.40.4","8","0.0","00:41:07","00:43:15","39","82"
Running,2019-10-27 08:45:58,false,"Gdańsk Biegi","5.12","359","00:29:02","158","176","--","156","164","5:40","4:57","33","55","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:38.63.1","6","0.0","00:28:59","00:29:02","34","87"
Other,2019-10-26 08:31:42,false,"Kolbudy Śledź mnie","5.22","617","02:38:25","95","133","--","0","0","2.0","6.2","87","81","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","00:00.00","1","0.0","01:33:46","02:38:25","115","152"
Other,2019-10-18 17:50:14,false,"Żukowo Śledź mnie","1.10","109","00:17:35","109","143","--","0","0","3.8","5.8","34","5","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","00:00.00","1","0.0","00:14:30","00:17:35","145","175"
Running,2019-09-21 12:53:32,false,"Gdańsk Biegi","5.43","396","00:32:30","154","174","--","147","178","5:59","4:29","70","68","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","02:58.15.1","6","0.0","00:31:51","00:32:30","37","66"
Running,2019-09-19 13:31:45,false,"Kolbudy Biegi","10.11","807","01:02:59","163","182","--","154","222","6:14","4:20","151","151","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:38.11.9","11","0.0","01:02:13","01:03:00","109","162"
Running,2019-09-14 10:21:15,false,"Gdańsk Biegi","10.00","529","00:48:38","150","179","--","159","171","4:52","3:51","26","28","1.30","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","04:34.39.1","10","0.0","00:48:34","00:48:38","-9","2"
Running,2019-09-12 15:06:59,false,"Gdańsk Biegi","6.39","487","00:36:30","167","187","--","157","200","5:43","3:37","112","112","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","02:02.38.9","7","0.0","00:36:22","00:37:00","56","108"
Running,2019-09-05 19:13:31,false,"Gdańsk Biegi","4.86","348","00:27:12","160","177","--","146","169","5:36","4:05","46","44","1.23","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","04:42.08.7","5","0.0","00:25:24","00:27:12","48","88"
Strength Training,2019-08-21 18:56:03,false,"Brzuch","0.00","61","00:13:54","99","133","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","78","12","0:00","27.0","0:00","No","00:00.00","1","0.0","00:08:50.2","00:13:56","--","--"
Running,2019-08-18 11:11:28,false,"Kolbudy Biegi","12.65","984","01:13:31","172","187","--","157","175","5:49","4:15","122","121","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","03:42.44","13","0.0","01:13:19","01:14:23","108","335"
Running,2019-08-16 13:10:14,false,"Gdańsk Biegi","9.25","820","01:03:48","168","187","--","148","228","6:54","4:55","198","197","0.98","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","01:32.83.2","10","0.0","01:02:17","01:03:48","63","141"
Running,2019-08-13 18:25:18,false,"Gdańsk Biegi","7.84","515","00:40:13","163","182","--","156","173","5:08","3:43","90","73","1.25","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","03:44.38.2","8","0.0","00:39:30","00:40:38","20","84"
Running,2019-08-11 10:21:34,false,"Gdańsk Biegi","15.03","1,229","01:35:33","168","192","--","154","233","6:22","4:43","220","223","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","00:10.41.4","16","0.0","00:00:00","01:35:33","75","137"
Running,2019-08-09 18:12:34,false,"Gdańsk Biegi","5.09","374","00:30:49","153","172","--","147","196","6:04","4:31","62","59","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","00:30.61.3","6","0.0","00:30:11","00:31:25","41","83"
Running,2019-08-07 14:48:42,false,"Kolbudy Biegi","9.22","725","00:55:05","167","183","--","155","172","5:59","4:53","108","106","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","01:10.75.8","10","0.0","00:54:48","00:55:43","101","134"
Running,2019-08-04 15:28:05,false,"Gdańsk Biegi","10.42","778","00:57:03","170","188","--","156","173","5:29","4:22","110","107","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","02:19.64.1","11","0.0","00:56:39","00:57:03","4","85"
Running,2019-08-03 17:16:31,false,"Gdańsk Biegi","5.00","350","00:27:17","161","181","--","155","168","5:28","4:21","54","35","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","05:09.98","5","0.0","00:26:53","00:29:22","-500","-485"
Running,2019-08-01 13:47:44,false,"Gdańsk Biegi","12.75","943","01:13:46","164","183","--","155","173","5:47","5:00","23","23","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","04:02.57.2","13","0.0","01:12:34","01:13:46","-14","-11"
Running,2019-07-30 14:21:48,false,"Kolbudy Biegi","6.75","492","00:37:54","164","178","--","157","177","5:37","4:19","77","74","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","03:50.97","7","0.0","00:37:51","00:37:54","104","140"
Cycling,2019-07-29 15:24:08,false,"Gdańsk Kolarstwo","15.97","486","01:09:56","123","155","--","0","0","13.7","43.9","61","105","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","05:12.91.4","4","0.0","00:59:34","01:09:56","29","118"
Strength Training,2019-07-26 17:34:51,false,"Brzuch","0.00","33","00:14:49","81","110","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","230","11","0:00","28.0","0:00","No","00:00.00","1","0.0","00:08:37.1","00:14:49","--","--"
Open Water Swimming,2019-07-25 16:26:34,false,"Kolbudy Pływanie długodystansowe","321","69","00:26:20","0","0","--","0","0","8:13","0:12","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","436","157","16","0","--","0:00","22.0","0:00","No","00:00.00","1","0.0","00:13:25","00:26:32","--","--"
Cycling,2019-07-24 16:01:09,false,"Gdańsk Kolarstwo","52.61","994","02:32:32","125","169","--","0","0","20.7","44.4","96","99","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","10:38.17.4","11","0.0","02:20:57","02:32:32","6","81"
Strength Training,2019-07-23 20:41:09,false,"Brzuch","0.00","35","00:07:33.4","102","120","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","43","11","0:00","31.0","0:00","No","00:00.00","1","0.0","00:07:23.8","00:07:33.4","--","--"
Running,2019-07-21 12:04:46,false,"Gdańsk Biegi","11.61","919","01:06:40","172","190","--","153","169","5:45","4:30","98","106","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","03:25.11.9","12","0.0","01:05:55","01:06:41","19","79"
Running,2019-07-19 21:32:46,false,"Gdańsk Biegi","5.01","296","00:24:07","154","176","--","155","182","4:49","3:24","50","63","1.34","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:01.58.2","6","0.0","00:24:00","00:24:07","17","79"
Running,2019-07-17 19:44:44,false,"Gostyń Biegi","11.47","791","01:07:30","156","174","--","154","164","5:53","4:41","49","53","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","02:59.74","12","0.0","01:06:43","01:07:30","74","106"
Running,2019-07-15 18:19:44,false,"Gdańsk Biegi","3.85","294","00:23:12","164","179","--","150","165","6:02","5:16","25","58","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","05:04.74","4","0.0","00:22:28","00:24:28","41","79"
Running,2019-07-14 16:31:20,false,"Gdańsk Biegi","10.00","738","01:00:47","158","177","--","142","167","6:05","4:21","111","129","1.16","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","00:00.25.6","11","0.0","00:56:18","01:01:04","5","89"
Cycling,2019-07-13 16:29:23,false,"Gdańsk Kolarstwo","38.09","816","02:16:27","121","164","--","0","0","16.8","48.1","282","280","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","10:59.84","8","0.0","02:00:45","02:16:29","58","159"
Running,2019-07-12 16:48:17,false,"Gdańsk Biegi","7.00","524","00:42:01","161","184","--","153","170","6:00","4:42","103","97","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","05:22.30.3","7","0.0","00:41:02","00:42:01","26","87"
Running,2019-07-10 20:35:56,false,"Gdańsk - Spokojny bieg","7.89","560","00:45:24","159","177","--","149","190","5:45","2:58","70","70","1.18","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:02.56.9","10","0.0","00:43:02","00:45:24","47","102"
Cycling,2019-07-10 15:21:15,false,"Gdańsk Kolarstwo","9.13","215","00:35:57","111","138","--","0","0","15.2","30.3","74","15","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","16:10.48.9","2","0.0","00:32:40","00:35:57","-7","55"
Running,2019-07-08 18:26:02,false,"Gdańsk Biegi","10.03","721","01:00:54","159","177","--","154","171","6:04","3:55","92","92","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:16.70.6","11","0.0","00:59:19","01:00:54","104","151"
Running,2019-07-07 19:31:05,false,"Gdańsk - Spokojny bieg","4.72","375","00:30:02","160","186","--","151","232","6:22","5:25","25","46","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:01.78.9","7","0.0","00:29:04","00:30:02","48","86"
